NAME,TICKER,REGION,SECTOR,SEGMENT,MARKET CAP,E VALUE,PRICE,H REV GROWTH,H EPS GROWTH,H FCF GROWTH,H OP MARGIN,H FCF MARGIN,H ORGANIC,H INORGANIC,H DIVIDENDS,H REPURCHASES,H DEBT AMORTIZATION,H ROIC,H DEBT NET EBITDA,H PER,H EVFCF,H MAX DROP,H CAGR,C OP MARGIN,C FCF MARGIN,C ORGANIC,C INORGANIC,C DIVIDENDS,C REPURCHASES,C DEBT AMORTIZATION,C ROIC,C DEBT NET EBIDA,C PER,C EVFCF,C DROP,E REV GROWTH,E EPS GROWTH,E FCF GROWTH,E OP MARGIN,E FCF MARGIN,E DEBT NET EBITDA,E PER,E EVFCF,PRICE PESIMIST,CY MOS PESIMIST,OY MOS PESIMIST,5Y CAGR PESIMIST,PRICE NEUTRAL,CY MOS NEUTRAL,OY MOS NEUTRAL,5Y CAGR NEUTRAL,,,,REGION,,,,Europeas,,,,SECTOR,,,,Cantidad,,Region
Moncler SPA,MONC,IT,Luxury Goods,,€17.281,€16.896,€65,16%,16%,15%,29%,19%,8%,13%,29%,7%,34%,19%,"-0,09",25,26,-46%,15%,30%,16%,13%,0%,61%,0%,0%,14%,"-1,3",25,20,-8%,9%,8%,13%,30%,20%,-1,25,25,€89,-4%,38%,7%,€116,26%,80%,12%,,,,,,,,,,,,,,,,,,
Amazon Inc,AMZN,US,Technology,"Cloud Computing, Ecommerce, AI",$2.208.144,$2.262.342,$208,22%,60%,60%,5%,6%,49%,44%,0%,9%,57%,22%,"-0,6",65,37,-54%,27%,11%,11%,37%,10%,0%,0%,17%,25%,"-0,3",35,33,-14%,10%,14%,16%,14%,13%,"-0,3",30,30,$283,-27%,36%,6%,$360,-10%,73%,12%,,,,,,,,,,,,,,,,,,
Unilever PLC,ULVR,GB,Consumer Staple,,£115.796,£138.115,£45,2%,7%,30%,17%,13%,5%,26%,67%,40%,5%,17%,"1,8",19,19,-28%,5%,18%,20%,3%,7%,36%,13%,0%,16%,"1,8",14,16,-9%,4%,5%,-2%,19%,14%,"1,8",20,20,£67,12%,48%,8%,£75,27%,67%,11%,,,,,,,,,,,,,,,,,,
Mapfre SA,MAP,ES,Financial,Insurance,€8.362,€10.709,€3,5%,6%,,,,,,,,,,,8,,-54%,0%,,,,,,,,,,5,,-3%,3%,2%,,,,,7,,€3,18%,62%,5%,€5,37%,83%,11%,,,,,,,,,,,,,,,,,,
Industria de Diseño Textil SA,ITX,ES,Manufacturing,Apparel,€156.236,€150.589,€51,9%,21%,25%,16%,14%,10%,0%,49%,1%,28%,23%,"-1,4",25,25,-38%,13%,19%,17%,0%,0%,62%,0%,29%,27%,"-1,3",26,23,-10%,8%,9%,7%,20%,16%,"-1,4",25,25,€69,0%,36%,6%,€81,17%,59%,10%,,,,,,,,,,,,,,,,,,
LVMH Moët Hennesy Louis Vuitton Société Européenne,MC,FR,Luxury Goods,,€331.733,€361.198,€670,11%,19%,11%,22%,12%,10%,34%,50%,5%,26%,16%,"0,5",23,23,-35%,15%,22%,11%,0%,5%,81%,0%,33%,15%,"0,6",23,27,-26%,8%,14%,19%,26%,16%,"0,5",25,25,€938,-16%,40%,7%,€1.023,-8%,53%,9%,,,,,,,,,,,,,,,,,,
Mastercard Incorporated,MA,US,Technology,Payment Network,$510.585,$520.192,$550,13%,19%,15%,56%,45%,5%,14%,19%,80%,0%,50%,"0,1",30,30,-28%,20%,58%,50%,2%,18%,17%,80%,0%,55%,"0,5",34,35,-4%,12%,14%,11%,59%,48%,"0,2",30,30,$799,-22%,40%,8%,$856,-13%,56%,9%,,,,,,,,,,,,,,,,,,
Brunello Cucinelli,BC,IT,Luxury Goods,,€8.183,€8.906,€120,14%,13%,-5%,13%,6%,20%,2%,76%,2%,122%,11%,"0,5",43,,-36%,22%,17%,2%,0%,0%,196%,16%,233%,11%,"0,2",57,73,-12%,10%,16%,11%,17%,8%,"0,2",40,40,€86,-46%,-20%,-4%,€176,2%,47%,8%,,,,,,,,,,,,,,,,,,
Lululemon Athletica Inc,LULU,US,Consumer Discretionary,Consumer Discretionary,$42.432,$42.758,$249,21%,29%,38%,20%,13%,25%,8%,0%,65%,0%,25%,"-1,1",30,40,-54%,18%,23%,20%,14%,0%,0%,30%,0%,-59%,"-0,9",26,30,-31%,9%,10%,5%,23%,15%,"-0,9",25,25,$370,-33%,6%,3%,$500,-15%,43%,7%,,,,,,,,,,,,,,,,,,
Fairfax Financial Holding Limited,FFH,CA,Financial,Insurance,$43.902,$53.309,$2.047,17%,23%,,,,,,,,,,,25,,-54%,12%,,,,,,,,,,12,,-2%,7%,6%,,,,,12,,$2.245,-9%,37%,2%,$2.823,0%,52%,7%,,,,,,,,,,,,,,,,,,
JPMorgan Chase & Company,JPM,US,Financial,Consumer Bank,$689.352,,$248,8%,10%,,,,,,,,,,,12,,-44%,15%,,,,,,,,,,12,,-13%,8%,7%,,,,,12,,$308,-10%,-37%,4%,$355,-5%,56%,7%,,,,,,,,,,,,,,,,,,
Nike Inc,NKE,US,Consumer Discretionary,Sport Apparel,$115.091,$117.395,$77,6%,20%,15%,13%,10%,8%,0%,39%,100%,3%,25%,"-0,4",29,29,-51%,5%,13%,13%,0%,0%,33%,64%,0%,23%,"-0,3",33,,-56%,4%,6%,1%,10%,8%,"-0,3",25,25,$104,-13%,45%,6%,$104,-13%,45%,6%,,,,,,,,,,,,,,,,,,
Nestlé SA,NESN,CH,Consumer Staple,Food Industry,CHF230.824,CHF287.288,CHF88,0%,4%,17%,17%,11%,20%,24%,80%,56%,3%,13%,"1,6",21,,-39%,2%,17%,12%,25%,7%,70%,40%,0%,12%,"2,8",20,25,-31%,4%,7%,3%,17%,12%,"2,5",25,25,CHF92,-18%,5%,1%,CHF114,2%,30%,5%,,,,,,,,,,,,,,,,,,
Apple Inc,AAPL,US,Technology,Mobile Devices,$3.541.303,$3.496.734,$235,6%,13%,9%,28%,24%,2%,1%,21%,96%,3%,44%,"0,4",26,25,-37%,22%,32%,25%,0%,0%,16%,100%,6%,66%,"0,4",31,30,-9%,7%,15%,11%,34%,29%,"0,4",25,25,$282,-18%,20%,4%,$304,-18%,30%,5%,,,,,,,,,,,,,,,,,,
Visa Inc,V,US,Technology,Payment Network,$688.987,$696.166,$346,11%,18%,14%,66%,49%,2%,17%,21%,79%,6%,24%,"0,2",25,25,-29%,18%,67%,49%,2%,5%,24%,95%,0%,35%,"0,2",32,32,-4%,11%,12%,10%,68%,55%,"0,2",25,25,$443,-22%,28%,5%,$443,-22%,28%,5%,,,,,,,,,,,,,,,,,,
Starbucks Corporation,SBUX,US,Restaurant Industry,Coffee Shops,$126.872,$148.826,$110,8%,26%,50%,14%,13%,19%,3%,71%,115%,5%,26%,"1,3",27,30,-43%,9%,15%,10%,34%,0%,75%,40%,0%,21%,"1,8",36,38,-15%,7%,14%,14%,16%,11%,"1,6",25,25,$137,-37%,24%,4%,$137,-37%,24%,4%,,,,,,,,,,,,,,,,,,
The Goldman Sachs Group Inc,GS,US,Financial,Consumer Bank,$184.964,,$581,6%,31%,,,,,,,,,,,10,,-32%,12%,,,,,,,,,,10,,-19%,5%,9%,,,,,10,,$594,-21%,24%,1%,$660,-17%,30%,3%,,,,,,,,,,,,,,,,,,
ServiceNow,NOW,US,Technology,Enterprise Software,$188.653,$181.058,$890,32%,49%,55%,1%,13%,32%,28%,0%,95%,24%,-14%,-2,55,45,-50%,28%,13%,21%,18%,5%,0%,59%,0%,14%,"-2,2",119,77,-24%,20%,20%,13%,16%,13%,-2,40,40,$538,-72%,-40%,-10%,$1.026,-47%,15%,3%,,,,,,,,,,,,,,,,,,
McDonalds Corporation,MCD,US,Restaurant Industry,,$229.549,$280.418,$307,1%,12%,10%,40%,27%,5%,5%,63%,82%,1%,19%,"2,8",23,25,-17%,13%,46%,32%,7%,8%,58%,34%,1%,20%,"2,7",24,,-3%,5%,8%,6%,47%,36%,"2,8",25,25,$306,-28%,0%,0%,$339,-21%,11%,2%,,,,,,,,,,,,,,,,,,
Costco Wholesale Corporation,COST,US,Retail,,$465.095,$461.398,$1.032,9%,14%,12%,3%,2%,63%,2%,48%,29%,25%,17%,"-0,3",36,33,-31%,22%,4%,3%,36%,0%,34%,15%,10%,22%,"-0,5",56,52,-5%,7%,10%,13%,4%,3%,"-0,5",40,40,$868,-41%,-16%,-3%,$1.150,-22%,11%,2%,,,,,,,,,,,,,,,,,,
The Procter & Gamble Company,PG,US,Consumer Staple,,$412.577,$438.097,$175,4%,8%,3%,22%,19%,3%,5%,60%,50%,9%,16%,"1,1",22,22,-24%,8%,25%,20%,2%,0%,54%,29%,14%,20%,1,25,25,-2%,3%,4%,3%,25%,21%,"1,1",22,22,$162,-23%,-7%,-1%,$180,-15%,3%,1%,,,,,,,,,,,,,,,,,,
Hermès International Société en commandite par actions,RMS,FR,Luxury Goods,,€279.840,€270.379,€2.690,13%,19%,18%,37%,25%,2%,3%,34%,6%,7%,36%,"-1,5",41,42,-41%,23%,42%,26%,5%,12%,71%,4%,8%,40%,"-1,4",62,59,-8%,10%,13%,14%,42%,30%,"-1,7",40,40,€2.885,-31%,8%,1%,€2.885,-31%,8%,1%,,,,,,,,,,,,,,,,,,
Walmart Inc,WMT,US,Retail,,$736.288,$794.578,$95,4%,7%,4%,4%,3%,16%,13%,38%,40%,15%,12%,1,22,19,-25%,14%,4%,2%,62%,11%,40%,27%,6%,15%,"0,7",33,38,-12%,5%,7%,14%,5%,3%,"0,8",25,25,$78,-49%,-18%,-4%,$99,-35%,5%,1%,,,,,,,,,,,,,,,,,,
The Coca Cola Company,KO,US,Consumer Staple,Beverage Industry,$307.220,$340.822,$70,1%,13%,13%,28%,21%,5%,30%,90%,28%,9%,14%,"2,3",23,23,-37%,6%,30%,23%,9%,3%,77%,17%,0%,17%,2,26,30,-2%,4%,4%,5%,32%,24%,"2,1",25,25,$65,-27%,-8%,-2%,$72,-20%,2%,0%,,,,,,,,,,,,,,,,,,
Citigroup Inc,C,US,Financial,Consumer Bank,$133.007,,$72,1%,6%,,,,,,,,,,,9,,-48%,3%,,,,,,,,,,9,,-19%,1%,4%,,,,,9,,$63,-3%,18%,-2%,$71,3%,24%,0%,,,,,,,,,,,,,,,,,,
The Home Depot Inc,HD,US,Retail,Consumer Discretionary,$374.299,$434.930,$384,7%,13%,6%,14%,9%,1%,27%,53%,65%,0%,33%,"1,5",21,,-35%,13%,14%,6%,2%,180%,92%,7%,0%,24%,2,23,,-13%,4%,7%,16%,14%,10%,"1,5",20,20,$360,-26%,-6%,-1%,$360,-26%,-6%,-1%,,,,,,,,,,,,,,,,,,
Air Lease Corporation,AL,US,Financial,Leasing,$5.157,$24.894,$46,10%,10%,,,,,,,,,,,7,,-40%,4%,,,,,,,,,,11,,-13%,7%,9%,,,,,7,,$31,-18%,2%,-8%,$40,-13%,13%,-3%,,,,,,,,,,,,,,,,,,
Palantir Technologies Inc,PLTR,US,Technology,Data Analytics,$211.387,$206.487,$88,30%,29%,12%,44%,-47%,0%,0%,0%,40%,0%,-40%,"-1,3",60,65,-84%,64%,11%,12%,0%,0%,0%,80%,0%,14%,"-15,3",376,367,-33%,31%,20%,36%,15%,14%,-5,70,70,$17,-90%,-80%,-28%,$41,-79%,-54%,-14%,,,,,,,,,,,,,,,,,,
Tesla Inc,TSLA,US,Technology,Electric Vehicles,$897.730,$875.557,$272,45%,80%,212%,1%,2%,41%,5%,0%,0%,35%,3%,"0,7",80,90,-73%,35%,8%,6%,98%,0%,0%,0%,0%,9%,"-2,2",110,1026,-43%,15%,23%,20%,11%,6%,"-1,8",30,30,$103,-96%,-71%,-22%,$146,-96%,-56%,-16%,,,,,,,,,,,,,,,,,,
MicroStrategy Incorporated,MSTR,US,Technology,Enterprise Software,$80.311,$87.532,$298,-1%,-63%,-134%,-77%,-51%,1%,0%,0%,-67%,8%,-5%,-15,88,31,-89%,23%,-400%,-246%,0%,0%,0%,0%,0%,-10%,"-3,9",-92,-106,-36%,2%,-13%,-7%,-77%,-141%,-15,1,1,-$40,-116%,-114%,-167%,-$40,-116%,-114%,-167%,,,,,,,,,,,,,,,,,,
SP500,,,,,,,,,,,,,,,,,,,,,,,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ100,,,,,,,,,,,,,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUROSTOXX50,,,,,,,,,,,,,,,,,,,,,,,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
