NAME,TICKER,REGION,SECTOR,SEGMENT,MARKET CAP,E VALUE,PRICE,H REV GROWTH,H EPS GROWTH,H FCF GROWTH,H OP MARGIN,H FCF MARGIN,H ORGANIC,H INORGANIC,H DIVIDENDS,H REPURCHASES,H DEBT AMORTIZATION,H ROIC,H DEBT NET EBITDA,H PER,H EVFCF,H MAX DROP,H CAGR,C OP MARGIN,C FCF MARGIN,C ORGANIC,C INORGANIC,C DIVIDENDS,C REPURCHASES,C DEBT AMORTIZATION,C ROIC,C DEBT NET EBIDA,C PER,C EVFCF,C DROP,E REV GROWTH,E EPS GROWTH,E FCF GROWTH,E OP MARGIN,E FCF MARGIN,E DEBT NET EBITDA,E PER,E EVFCF,PRICE PESIMIST,CY MOS PESIMIST,OY MOS PESIMIST,5Y CAGR PESIMIST,PRICE NEUTRAL,CY MOS NEUTRAL,OY MOS NEUTRAL,5Y CAGR NEUTRAL
Markel Group Inc,MKL,US,Financial,Insurance,24275.14,26781.7,1903.0,0.14,0.2,,,,,,,,,,,24,,-0.3,0.09,,,,,,,,,,8.0,,-0.28,0.11,0.06,,,,,15,,3057.0,0.25,0.81,0.1,3821.0,0.4,1.0,0.15
Mapfre SA,MAP,ES,Financial,Insurance,8361.6,10708.6,2.7,0.05,0.06,,,,,,,,,,,8,,-0.54,0.0,,,,,,,,,,5.0,,-0.03,0.03,0.02,,,,,7,,3.4,0.18,0.62,0.05,4.54,0.37,0.83,0.11
Fairfax Financial Holding Limited,FFH,CA,Financial,Insurance,43902.3,53308.85,2047.34,0.17,0.23,,,,,,,,,,,25,,-0.54,0.12,,,,,,,,,,12.0,,-0.02,0.07,0.06,,,,,12,,2245.0,-0.09,0.37,0.02,2823.0,0.0,0.52,0.07
JPMorgan Chase & Company,JPM,US,Financial,Consumer Bank,689352.0,,248.11,0.08,0.1,,,,,,,,,,,12,,-0.44,0.15,,,,,,,,,,12.0,,-0.13,0.08,0.07,,,,,12,,308.0,-0.1,-0.37,0.04,355.0,-0.05,0.56,0.07
Air Lease Corporation,AL,US,Financial,Leasing,5156.7,24894.2,46.43,0.1,0.1,,,,,,,,,,,7,,-0.4,0.04,,,,,,,,,,11.0,,-0.13,0.07,0.09,,,,,7,,31.0,-0.18,0.02,-0.08,40.0,-0.13,0.13,-0.03
Ashtead Group plc,AHT,GB,Financial,Leasing,19922.2,28455.88,45.88,0.21,0.25,,,,,,,,,,,15,,-0.45,0.15,,,,,,,,,,12.0,,-0.31,0.05,0.09,,,,,15,,60.0,0.03,0.77,0.06,82.0,0.21,1.0,0.12
Brunello Cucinelli,BC,IT,Luxury Goods,,8182.6,8905.6,120.4,0.14,0.76,-0.05,0.13,0.06,0.2,0.02,0.76,0.02,1.22,0.11,0.5,43,,-0.36,0.22,0.17,0.02,0.0,0.0,1.96,0.16,2.33,0.11,0.2,57.0,73.0,-0.12,0.1,0.16,0.11,0.17,0.08,0.2,40,40,86.0,-0.46,-0.2,-0.04,176.0,0.02,0.47,0.08
LVMH Moët Hennesy Louis Vuitton Société Européenne,MC,FR,Luxury Goods,,331733.36,361198.36,669.81,0.11,0.19,0.11,0.22,0.12,0.1,0.34,0.5,0.05,0.26,0.16,0.5,23,23.0,-0.35,0.15,0.22,0.11,0.0,0.05,0.81,0.0,0.33,0.15,0.6,23.0,27.0,-0.26,0.08,0.14,0.19,0.26,0.16,0.5,25,25,938.0,-0.16,0.4,0.07,1023.0,-0.08,0.53,0.09
Moncler SPA,MONC,IT,Luxury Goods,,17280.93,16896.25,64.52,0.16,0.16,0.15,0.29,0.19,0.08,0.13,0.29,0.07,0.34,0.19,-0.09,25,26.0,-0.46,0.15,0.3,0.16,0.13,0.0,0.61,0.0,0.0,0.14,-1.3,25.0,20.0,-0.08,0.09,0.08,0.13,0.3,0.2,-1.0,25,25,89.0,-0.04,0.38,0.07,116.0,0.26,0.8,0.12
Hermès International Société en commandite par actions,RMS,FR,Luxury Goods,,279840.04,270379.04,2690.0,0.13,0.19,0.18,0.37,0.25,0.02,0.03,0.34,0.06,0.07,0.36,-1.5,41,42.0,-0.41,0.23,0.42,0.26,0.05,0.12,0.71,0.04,0.08,0.4,-1.4,62.0,59.0,-0.08,0.1,0.13,0.14,0.42,0.3,-1.7,40,40,2885.0,-0.31,0.08,0.01,2885.0,-0.31,0.08,0.01
Industria de Diseño Textil SA,ITX,ES,Manufacturing,Apparel,156235.67,150588.67,50.66,0.09,0.21,0.25,0.16,0.14,0.1,0.0,0.49,0.01,0.28,0.23,-1.4,25,25.0,-0.38,0.13,0.19,0.17,0.0,0.0,0.62,0.0,0.29,0.27,-1.3,26.0,23.0,-0.1,0.08,0.09,0.07,0.2,0.16,-1.4,25,25,69.0,0.0,0.36,0.06,81.0,0.17,0.59,0.1
Starbucks Corporation,SBUX,US,Restaurant Industry,Coffee Shops,126872.15,148825.95,110.0,0.08,0.26,0.5,0.14,0.13,0.19,0.03,0.71,1.15,0.05,0.26,1.3,27,30.0,-0.43,0.09,0.15,0.1,0.34,0.0,0.75,0.4,0.0,0.21,1.8,36.0,38.0,-0.15,0.07,0.14,0.14,0.16,0.11,1.6,25,25,137.0,-0.37,0.24,0.04,137.0,-0.37,0.24,0.04
McDonalds Corporation,MCD,US,Restaurant Industry,,229549.22,280418.22,307.0,0.01,0.12,0.1,0.4,0.27,0.05,0.05,0.63,0.82,0.01,0.19,2.8,23,25.0,-0.17,0.13,0.46,0.32,0.07,0.08,0.58,0.34,0.01,0.2,2.7,24.0,,-0.03,0.05,0.08,0.06,0.47,0.36,2.8,25,25,306.0,-0.28,0.0,0.0,339.0,-0.21,0.11,0.02
Costco Wholesale Corporation,COST,US,Retail,,465095.0,461398.0,1032.27,0.09,0.14,0.75,0.03,0.02,0.63,0.02,0.48,0.29,0.25,0.17,-0.3,36,33.0,-0.31,0.22,0.04,0.03,0.36,0.0,0.34,0.15,0.1,0.22,-0.5,56.0,52.0,-0.05,0.07,0.1,0.13,0.04,0.03,-0.5,40,40,868.0,-0.41,-0.16,-0.03,1150.0,-0.22,0.11,0.02
Walmart Inc,WMT,US,Retail,,736288.18,794578.18,94.8,0.04,0.07,0.04,0.04,0.03,0.16,0.13,0.38,0.4,0.15,0.12,1.0,22,19.0,-0.25,0.14,0.04,0.02,0.62,0.11,0.4,0.27,0.06,0.15,0.7,33.0,38.0,-0.12,0.05,0.07,0.14,0.05,0.03,0.8,25,25,78.0,-0.49,-0.18,-0.04,99.0,-0.35,0.05,0.01
Carrefour SA,CA,FR,Retail,,8414.43,24867.14,13.0,0.01,0.01,0.08,0.03,0.02,0.2,0.23,0.19,0.2,0.39,0.06,2.1,10,10.0,-0.32,-0.09,0.02,0.04,0.0,0.42,0.18,0.21,0.0,0.05,2.1,5.0,8.0,-0.39,0.02,0.04,-0.03,0.03,0.03,2.1,10,10,15.4,-0.04,0.19,0.03,24.0,0.51,0.86,0.13
The Home Depot Inc,HD,US,Retail,Consumer Discretionary,374299.0,434930.0,383.5,0.07,0.13,0.06,0.14,0.09,0.01,0.27,0.53,0.65,0.0,0.33,1.5,21,,-0.35,0.13,0.14,0.06,0.02,1.8,0.92,0.07,0.0,0.24,2.0,23.0,,-0.13,0.04,0.07,0.16,0.14,0.1,1.5,20,20,360.0,-0.26,-0.06,-0.01,360.0,-0.26,-0.06,-0.01
MicroStrategy Incorporated,MSTR,US,Technology,Enterprise Software,80311.32,87531.67,298.1,-0.01,-0.63,-1.34,-0.77,-0.51,0.01,0.0,0.0,-0.67,0.08,1.53,-15.0,88,31.0,-0.89,0.23,-4.0,-2.46,0.0,0.0,0.0,0.0,0.0,-0.1,-3.9,-92.0,-106.0,-0.36,0.02,-0.13,-0.07,-0.77,-1.41,-15.0,1,1,-40.0,-1.16,-1.14,-1.67,-40.0,-1.16,-1.14,-1.67
Tesla Inc,TSLA,US,Technology,Electric Vehicles,897729.91,875556.91,272.09,0.45,0.54,2.86,0.01,0.02,0.41,0.05,0.0,0.0,0.35,0.03,0.7,80,90.0,-0.73,0.35,0.08,0.06,0.98,0.0,0.0,0.0,0.0,0.09,-2.2,110.0,1026.0,-0.43,0.15,0.23,1.8,0.11,0.06,-1.8,30,30,103.0,-0.96,-0.71,-0.22,146.0,-0.96,-0.56,-0.16
Amazon Inc,AMZN,US,Technology,"Cloud Computing, Ecommerce, AI",2208143.89,2262341.89,208.3,0.22,0.78,1.2,0.05,0.06,0.49,0.44,0.0,0.09,0.57,0.22,-0.6,65,37.0,-0.54,0.27,0.11,0.11,0.37,0.1,0.0,0.0,0.17,0.25,-0.3,35.0,33.0,-0.14,0.1,0.14,0.16,0.14,0.13,-0.3,30,30,283.0,-0.27,0.36,0.06,360.0,-0.1,0.73,0.12
ServiceNow,NOW,US,Technology,Enterprise Software,188652.74,181057.74,890.0,0.32,-0.44,0.61,0.01,0.13,0.32,0.28,0.0,0.95,0.24,-0.14,-2.0,55,45.0,-0.5,0.28,0.13,0.21,0.18,0.05,0.0,0.59,0.0,0.14,-2.2,119.0,77.0,-0.24,0.2,0.2,0.13,0.16,0.13,-2.0,40,40,538.0,-0.72,-0.4,-0.1,1026.0,-0.47,0.15,0.03
Palantir Technologies Inc,PLTR,US,Technology,Data Analytics,211386.98,206487.35,87.64,0.3,-0.45,-0.36,0.44,-0.47,0.0,0.0,0.0,0.4,0.0,-0.4,-1.3,60,65.0,-0.84,0.64,0.11,0.12,0.0,0.0,0.0,0.8,0.0,0.14,-15.3,376.0,367.0,-0.33,0.31,0.2,0.36,0.15,0.14,-5.0,70,70,17.0,-0.9,-0.8,-0.28,41.0,-0.79,-0.54,-0.14
Alphabet Inc,GOOGL,US,Technology,"Digital Advertising, Cloud Computing, AI",2119942.89,2052422.89,173.02,0.19,0.28,0.27,0.26,0.21,0.36,0.04,0.01,0.59,0.01,0.29,-2.0,23,24.0,-0.44,0.2,0.33,0.27,0.39,0.03,0.08,0.65,0.0,0.34,-0.6,20.0,,-0.16,0.11,0.14,0.13,0.34,0.28,-0.6,25,25,319.0,0.05,0.85,0.13,407.0,0.28,1.35,0.19
Apple Inc,AAPL,US,Technology,Mobile Devices,3541303.49,3496734.49,234.5,0.06,0.13,0.09,0.28,0.24,0.02,0.01,0.21,0.96,0.03,0.44,0.4,26,25.0,-0.37,0.22,0.32,0.25,0.0,0.0,0.16,1.0,0.06,0.66,0.4,31.0,30.0,-0.09,0.07,0.15,0.11,0.34,0.29,0.4,25,25,282.0,-0.18,0.2,0.04,304.0,-0.18,0.3,0.05
Meta Platforms Inc,META,US,Technology,"Digital Advertising, AI",1263271.3,1635225.3,648.0,0.29,0.45,0.39,0.4,0.33,0.39,0.02,0.01,0.54,0.01,0.29,-1.4,23,,-0.75,0.23,0.41,0.39,0.34,0.0,0.08,0.69,0.0,0.3,-0.6,27.0,26.0,-0.12,0.13,0.14,0.13,0.41,0.37,-0.6,25,25,1150.0,-0.01,0.77,0.12,1283.0,0.01,0.98,0.15
ASML Holding NV,ASML,NL,Technology,Semiconductors,264930.91,257243.81,677.91,0.19,0.22,0.32,0.29,0.31,0.14,0.2,0.28,0.33,0.01,0.26,-0.5,27,27.0,-0.46,0.22,0.32,0.24,0.17,0.0,0.36,0.07,0.0,0.33,-0.9,28.0,,-0.33,0.12,0.18,0.26,0.37,0.38,-0.9,27,27,1332.0,0.09,0.96,0.14,1492.0,0.22,1.24,0.17
Microsoft Corporation,MSFT,US,Technology,"Enterprise Software, Cloud Computing, AI",2981175.56,3012529.56,401.02,0.11,0.27,0.25,0.36,0.31,0.16,0.33,0.38,0.49,0.09,0.55,-1.1,30,34.0,-0.37,0.25,0.45,0.4,0.3,0.71,0.22,0.18,0.0,0.29,-0.2,30.0,27.0,-0.14,0.14,0.18,0.14,0.47,0.39,-0.2,30,30,664.0,0.01,0.64,0.11,793.0,0.1,0.98,0.15
Nvidia Corporation,NVDA,US,Technology,Semiconductors,2862120.0,2829180.0,113.5,0.5,0.98,1.0,0.34,0.25,0.08,0.21,0.11,0.76,0.04,1.35,-1.4,39,40.0,-0.65,0.71,0.62,0.45,0.03,0.02,0.01,0.69,0.02,1.28,-0.4,27.0,30.0,-0.24,0.22,0.21,0.24,0.59,0.48,-0.4,30,30,164.0,-0.15,0.45,0.08,224.0,0.01,0.97,0.14
Mastercard Incorporated,MA,US,Technology,Payment Network,510585.14,520192.14,549.66,0.13,0.19,0.15,0.56,0.45,0.05,0.14,0.19,0.8,0.0,0.5,0.1,30,30.0,-0.28,0.2,0.58,0.5,0.02,0.18,0.17,0.8,0.0,0.55,0.5,34.0,35.0,-0.04,0.12,0.14,0.11,0.59,0.48,0.2,30,30,799.0,-0.22,0.4,0.08,856.0,-0.13,0.56,0.09
Visa Inc,V,US,Technology,Payment Network,688987.44,696166.41,346.36,0.11,0.18,0.14,0.66,0.49,0.02,0.17,0.21,0.79,0.06,0.24,0.2,25,25.0,-0.29,0.18,0.67,0.49,0.02,0.05,0.24,0.95,0.0,0.35,0.2,32.0,32.0,-0.04,0.11,0.12,0.1,0.68,0.55,0.2,25,25,443.0,-0.22,0.28,0.05,443.0,-0.22,0.28,0.05
